Restaurant ID,City,Country,Latitude,Longitude,region_cluster
17304691,Boise,United States,43.597235,-116.185034,1
17303478,Boise,United States,43.5945,-116.2062,1
17303480,Boise,United States,43.6167,-116.2022,1
17304733,Boise,United States,43.610279,-116.193409,1
17303646,Boise,United States,43.6192,-116.2625,1
17304929,Boise,United States,43.616295,-116.202845,1
17303684,Boise,United States,43.615,-116.199,1
17303772,Boise,United States,43.6191,-116.2463,1
17305123,Boise,United States,43.6051379,-116.245165,1
17303787,Boise,United States,43.6162,-116.2021,1
17303990,Boise,United States,43.6156,-116.2031,1
17304741,Boise,United States,43.619274,-116.281809,1
17304726,Boise,United States,43.591706,-116.280614,1
17304486,Boise,United States,43.619108,-116.347304,1
17304533,Boise,United States,43.5777,-116.5629,1
17316233,Cedar Rapids/Iowa City,United States,42.0179,-91.6336,1
17315883,Cedar Rapids/Iowa City,United States,42.0281,-91.6327,1
17315995,Cedar Rapids/Iowa City,United States,41.9748,-91.7148,1
17316018,Cedar Rapids/Iowa City,United States,42.0249,-91.6224,1
17316038,Cedar Rapids/Iowa City,United States,42.01,-91.6347,1
17316771,Cedar Rapids/Iowa City,United States,42.0215347,-91.6499622,1
17316201,Cedar Rapids/Iowa City,United States,41.9639,-91.7266,1
17316208,Cedar Rapids/Iowa City,United States,42.0468,-91.6394,1
17316389,Cedar Rapids/Iowa City,United States,41.670466,-91.569767,1
17316278,Cedar Rapids/Iowa City,United States,41.6685,-91.5687,1
17316744,Cedar Rapids/Iowa City,United States,41.660982,-91.534424,1
17316751,Cedar Rapids/Iowa City,United States,41.663849,-91.531414,1
17316766,Cedar Rapids/Iowa City,United States,41.663751,-91.531093,1
17316743,Cedar Rapids/Iowa City,United States,41.658691,-91.534302,1
17316374,Cedar Rapids/Iowa City,United States,41.6648,-91.5314,1
17316381,Cedar Rapids/Iowa City,United States,41.661,-91.5341,1
17316802,Cedar Rapids/Iowa City,United States,41.667742,-91.482165,1
17316416,Cedar Rapids/Iowa City,United States,41.6625,-91.5318,1
17316449,Cedar Rapids/Iowa City,United States,41.6428,-91.5074,1
17316603,Cedar Rapids/Iowa City,United States,42.0331,-91.5995,1
16659169,Chatham-Kent,Canada,42.397683,-82.188438,1
17558684,Clatskanie,United States,46.126967,-123.368151,1
18366580,Cochrane,United States,51.183934,-114.472474,1
17330755,Columbus,United States,32.470315,-84.992671,1
17330611,Columbus,United States,32.519247,-84.95591,1
17330609,Columbus,United States,32.555591,-84.927047,1
17330024,Columbus,United States,32.5577,-84.9436,1
17330074,Columbus,United States,32.4656,-84.9936,1
17330185,Columbus,United States,32.5382197,-84.954984,1
17330397,Columbus,United States,32.4637,-84.9876,1
17330735,Columbus,United States,32.4652417,-84.9933631,1
17330676,Columbus,United States,32.534002,-84.96661,1
17330048,Columbus,United States,32.513154,-84.95367,1
17330604,Columbus,United States,32.504657,-84.947569,1
17330087,Columbus,United States,32.5393,-84.9607,1
17330137,Columbus,United States,32.4792,-84.9464,1
17330155,Columbus,United States,32.481,-84.9427,1
17330309,Columbus,United States,32.5321,-84.9557,1
17330311,Columbus,United States,32.466158,-84.992093,1
17330615,Columbus,United States,32.560905,-84.938698,1
17330638,Columbus,United States,32.468757,-84.991384,1
17330628,Columbus,United States,32.527217,-84.963201,1
17330546,Columbus,United States,32.7455,-85.0213,1
16643459,Consort,Canada,52.0082889,-110.7746994,1
17334434,Dalton,United States,34.5251331,-84.9396931,1
